original_feature,importance,importance_pct
blue_last_5_td_acc_against,0.0025080706,0.0025080708
blue_last_10_avg_td_attempted_against,0.002506056,0.0025060563
blue_career_avg_total_str_landed_against,0.0024916234,0.0024916236
blue_last_10_avg_ko_tko_win,0.002484112,0.0024841123
blue_last_3_td_acc_against,0.0024818021,0.0024818024
red_career_avg_total_str_landed_for,0.0024802445,0.0024802447
red_last_3_avg_total_str_landed_for,0.00247876,0.0024787602
blue_last_10_avg_total_str_landed_against,0.0024660933,0.0024660935
blue_last_5_avg_kd_against,0.0024562236,0.0024562238
diff_career_avg_total_str_attempted_for,0.0024439618,0.002443962
red_last_5_avg_sig_landed_for,0.0024406456,0.0024406458
red_career_avg_submission_win,0.0024264988,0.002426499
red_career_avg_sub_att_against,0.0024164952,0.0024164955
blue_last_10_avg_total_str_landed_for,0.0024131571,0.0024131574
blue_last_3_avg_finish_loss,0.0024083003,0.0024083005
diff_last_5_td_acc_against,0.0024052705,0.0024052707
red_career_avg_finish_win,0.0024017887,0.002401789
blue_career_avg_sub_att_against,0.0023919784,0.0023919786
blue_last_10_sig_acc_against,0.0023915623,0.0023915626
diff_last_10_avg_submission_win,0.002383788,0.0023837883
red_last_3_td_acc_against,0.0023765303,0.0023765306
red_last_10_avg_td_attempted_for,0.0023652029,0.002365203
diff_career_sig_acc_for,0.0023643652,0.0023643654
red_last_3_avg_kd_for,0.0023567867,0.002356787
red_last_3_avg_sig_attempted_for,0.002353392,0.0023533923
blue_last_5_avg_total_str_landed_against,0.0023476018,0.002347602
red_career_ko_tko_win_rate,0.0023463813,0.0023463815
red_career_avg_sig_landed_for,0.002341448,0.0023414483
blue_last_10_td_acc_against,0.0023394928,0.002339493
red_last_5_avg_sig_attempted_against,0.0023368746,0.0023368748
diff_last_10_avg_sig_landed_against,0.0023343917,0.002334392
blue_last_10_avg_sub_att_against,0.0023294026,0.0023294028
blue_last_3_sig_acc_against,0.002317733,0.0023177331
diff_last_10_avg_total_str_attempted_for,0.002306948,0.0023069482
diff_last_3_avg_total_str_attempted_against,0.0023029218,0.002302922
diff_career_avg_sub_att_for,0.0023025787,0.0023025789
diff_last_3_avg_total_str_attempted_for,0.0022878412,0.0022878414
diff_career_wins,0.002286026,0.0022860263
red_last_3_td_acc_for,0.0022587243,0.0022587245
red_career_fights,0.002250781,0.0022507813
diff_last_3_avg_rounds_fought,0.0022496278,0.002249628
blue_career_td_acc_against,0.0022470846,0.0022470849
diff_last_5_sig_acc_against,0.0022469105,0.0022469107
blue_last_3_avg_td_attempted_against,0.002246456,0.0022464562
diff_last_3_avg_win,0.0022434886,0.0022434888
diff_last_3_avg_td_success_for,0.00223426,0.0022342603
diff_career_avg_sig_landed_against,0.0022269564,0.0022269567
diff_last_3_td_acc_against,0.0022158022,0.0022158024
blue_last_5_avg_finish_win,0.002214431,0.0022144313
red_last_5_avg_total_str_attempted_for,0.0022116783,0.0022116785
red_last_5_avg_sub_att_against,0.0022061272,0.0022061274
blue_last_3_avg_td_attempted_for,0.0022032952,0.0022032955
blue_career_avg_kd_against,0.0021982335,0.0021982337
diff_last_5_avg_decision_win,0.0021968987,0.002196899
blue_last_10_avg_ctrl_seconds_for,0.0021885543,0.0021885545
blue_career_submission_win_rate,0.0021810757,0.002181076
red_last_10_avg_rev_for,0.0021775304,0.0021775307
